Index,Date,Sermon Title,Primary Speaker,Service Duration,Preaching Start,Preaching End,Audio Size (MB),Status,Transcript Markdown,Trimmed Audio File,Completed At,GUID
91,2025-01-05,Battling Drift (Part 1): Relational Drift,John C. Wood,1:16:50,00:43:04,01:20:49,39.0,SUCCESS,2025-01-05 - Battling Drift (Part 1)- Relational Drift.md,2025-01-05 - Battling Drift (Part 1)- Relational Drift - Preaching.mp3,2026-09-03 05:04:24,https://s3.amazonaws.com/ccstarchives/xml/0105251
92,2024-12-29,Share the Gospel,Jason Braddock,1:16:50,00:40:35,01:16:10,36.5,SUCCESS,2024-12-29 - Share the Gospel.md,2024-12-29 - Share the Gospel - Preaching.mp3,2026-09-03 05:09:33,https://s3.amazonaws.com/ccstarchives/xml/1229241
93,2024-12-22,The Hidden Gems of Christmas,John C. Wood,1:16:50,00:40:52,01:20:41,40.9,SUCCESS,2024-12-22 - The Hidden Gems of Christmas.md,2024-12-22 - The Hidden Gems of Christmas - Preaching.mp3,2026-09-03 05:19:49,https://s3.amazonaws.com/ccstarchives/xml/1222241
94,2024-12-15,Stand,Al Robbins,1:16:50,00:41:22,01:25:37,39.2,SUCCESS,2024-12-15 - Stand.md,2024-12-15 - Stand - Preaching.mp3,2026-09-03 05:22:55,https://s3.amazonaws.com/ccstarchives/xml/1215241
95,2024-12-08,The Joy of Being Found,John C. Wood,1:16:50,00:35:03,01:19:21,36.3,SUCCESS,2024-12-08 - The Joy of Being Found.md,2024-12-08 - The Joy of Being Found - Preaching.mp3,2026-09-03 05:31:06,https://s3.amazonaws.com/ccstarchives/xml/1208241
96,2024-12-01,I Am Christ Chapel: Tess Harper,Tess Harper (with interjections from Kelly Wood and Pastor John Wood),1:16:50,00:32:35,01:14:03,39.4,SUCCESS,2024-12-01 - I Am Christ Chapel- Tess Harper.md,2024-12-01 - I Am Christ Chapel- Tess Harper - Preaching.mp3,2026-09-03 05:48:19,https://s3.amazonaws.com/ccstarchives/xml/1201241
97,2024-11-24,What of Your Heart? Part 2: The Grateful Heart,John C. Wood,1:16:50,00:37:01,01:19:59,40.2,SUCCESS,2024-11-24 - What of Your Heart- Part 2- The Grateful Heart.md,2024-11-24 - What of Your Heart- Part 2- The Grateful Heart - Preaching.mp3,2026-09-03 05:55:47,https://s3.amazonaws.com/ccstarchives/xml/1124241
98,2024-11-17,What of Your Heart? Part 1: The Hard Heart,John C. Wood,1:16:50,00:43:59,01:26:52,39.6,SUCCESS,2024-11-17 - What of Your Heart- Part 1- The Hard Heart.md,2024-11-17 - What of Your Heart- Part 1- The Hard Heart - Preaching.mp3,2026-09-03 05:59:12,https://s3.amazonaws.com/ccstarchives/xml/1117241
99,2024-11-10,What Am I Going To Do?,Jason Braddock,1:16:50,00:38:20,01:20:35,36.9,SUCCESS,2024-11-10 - What Am I Going To Do.md,2024-11-10 - What Am I Going To Do - Preaching.mp3,2026-09-03 06:03:16,https://s3.amazonaws.com/ccstarchives/xml/1110241
100,2024-11-03,I Am Christ Chapel: Mike Benson,John C. Wood,1:16:50,00:03:15,01:34:51,43.4,SUCCESS,2024-11-03 - I Am Christ Chapel- Mike Benson.md,2024-11-03 - I Am Christ Chapel- Mike Benson - Preaching.mp3,2026-09-03 06:09:53,https://s3.amazonaws.com/ccstarchives/xml/1103241
101,2024-10-27,Your Next Place In God (Part 2),John C. Wood,1:16:50,00:41:34,01:39:07,45.4,SUCCESS,2024-10-27 - Your Next Place In God (Part 2).md,2024-10-27 - Your Next Place In God (Part 2) - Preaching.mp3,2026-09-03 06:25:26,https://s3.amazonaws.com/ccstarchives/xml/1027241
102,2024-10-20,I Am Kept,Jason Braddock,1:16:50,00:38:59,01:20:27,39.8,SUCCESS,2024-10-20 - I Am Kept.md,2024-10-20 - I Am Kept - Preaching.mp3,2026-09-03 06:28:48,https://s3.amazonaws.com/ccstarchives/xml/1020241
103,2024-10-13,Your Next Place In God,John C. Wood,1:16:50,00:36:20,01:22:59,41.7,SUCCESS,2024-10-13 - Your Next Place In God.md,2024-10-13 - Your Next Place In God - Preaching.mp3,2026-09-03 06:41:44,https://s3.amazonaws.com/ccstarchives/xml/1013241
104,2024-10-06,Wise vs Wise,Jason Braddock,1:16:50,00:51:59,01:16:50,40.3,SUCCESS,2024-10-06 - Wise vs Wise.md,2024-10-06 - Wise vs Wise - Preaching.mp3,2026-09-03 06:45:11,https://s3.amazonaws.com/ccstarchives/xml/1006241
105,2024-09-29,The Psychology of Sin,John C. Wood,1:16:50,00:50:09,01:38:28,45.2,SUCCESS,2024-09-29 - The Psychology of Sin.md,2024-09-29 - The Psychology of Sin - Preaching.mp3,2026-09-03 06:49:57,https://s3.amazonaws.com/ccstarchives/xml/0929241
106,2024-09-22,Praying Like Elijah,John C. Wood,1:16:50,00:39:59,01:21:59,41.5,SUCCESS,2024-09-22 - Praying Like Elijah.md,2024-09-22 - Praying Like Elijah - Preaching.mp3,2026-09-03 06:55:55,https://s3.amazonaws.com/ccstarchives/xml/0922241
107,2024-09-15,Take Another Look,Al Robbins,1:16:50,00:54:20,01:17:58,38.5,SUCCESS,2024-09-15 - Take Another Look.md,2024-09-15 - Take Another Look - Preaching.mp3,2026-09-03 07:01:59,https://s3.amazonaws.com/ccstarchives/xml/0915241
109,2024-09-08,"Forgiven, But Not Living Like It (Part 2): Forgiven, But Not Forgiving",John C. Wood,1:16:50,00:37:00,01:35:38,44.2,SUCCESS,"2024-09-08 - Forgiven, But Not Living Like It (Part 2)- Forgiven, But Not Forgiving.md","2024-09-08 - Forgiven, But Not Living Like It (Part 2)- Forgiven, But Not Forgiving - Preaching.mp3",2026-09-03 07:20:21,https://s3.amazonaws.com/ccstarchives/xml/0908241
108,2024-09-08,Victory Over Self: Part 4,Unknown,1:16:50,00:06:56,01:11:50,34.8,SUCCESS,2024-09-08 - Victory Over Self- Part 4.md,2024-09-08 - Victory Over Self- Part 4 - Preaching.mp3,2026-09-03 07:16:02,https://s3.amazonaws.com/ccstarchives/xml/0908242
111,2024-09-01,"Forgiven, But Not Living Like It (Part 1): Forgiven, But Not Consecrated",John C. Wood,1:16:50,00:41:51,01:28:30,40.7,SUCCESS,"2024-09-01 - Forgiven, But Not Living Like It (Part 1)- Forgiven, But Not Consecrated.md","2024-09-01 - Forgiven, But Not Living Like It (Part 1)- Forgiven, But Not Consecrated - Preaching.mp3",2026-09-03 07:58:14,https://s3.amazonaws.com/ccstarchives/xml/0901241
110,2024-09-01,Victory Over Self: Part 3,John C. Wood,1:16:50,00:11:00,01:13:10,35.7,SUCCESS,2024-09-01 - Victory Over Self- Part 3.md,2024-09-01 - Victory Over Self- Part 3 - Preaching.mp3,2026-09-03 07:47:28,https://s3.amazonaws.com/ccstarchives/xml/0901242
113,2024-08-25,Look and Live,John C. Wood,1:16:50,00:46:00,01:29:57,41.7,SUCCESS,2024-08-25 - Look and Live.md,2024-08-25 - Look and Live - Preaching.mp3,2026-09-03 08:20:27,https://s3.amazonaws.com/ccstarchives/xml/0825241
112,2024-08-25,Victory Over Self: Part 2,John C. Wood,1:16:50,00:27:50,01:26:50,40.1,SUCCESS,2024-08-25 - Victory Over Self- Part 2.md,2024-08-25 - Victory Over Self- Part 2 - Preaching.mp3,2026-09-03 08:03:20,https://s3.amazonaws.com/ccstarchives/xml/0825242
115,2024-08-18,You Can Make It,John C. Wood,1:16:50,00:35:00,01:13:37,35.3,SUCCESS,2024-08-18 - You Can Make It.md,2024-08-18 - You Can Make It - Preaching.mp3,2026-09-03 08:28:48,https://s3.amazonaws.com/ccstarchives/xml/0818241
114,2024-08-18,Victory Over Self: Part 1,John C. Wood,1:16:50,00:14:20,01:23:49,38.4,SUCCESS,2024-08-18 - Victory Over Self- Part 1.md,2024-08-18 - Victory Over Self- Part 1 - Preaching.mp3,2026-09-03 08:24:06,https://s3.amazonaws.com/ccstarchives/xml/0818242
116,2024-08-11,The Unspeakable Gifts,John C. Wood,1:16:50,00:43:40,01:20:00,39.5,SUCCESS,2024-08-11 - The Unspeakable Gifts.md,2024-08-11 - The Unspeakable Gifts - Preaching.mp3,2026-09-03 08:32:04,https://s3.amazonaws.com/ccstarchives/xml/0811241
117,2024-08-04,Babylon's Fire,John C. Wood,1:16:50,00:45:00,01:30:04,41.2,SUCCESS,2024-08-04 - Babylon's Fire.md,2024-08-04 - Babylon's Fire - Preaching.mp3,2026-09-03 08:40:39,https://s3.amazonaws.com/ccstarchives/xml/0804241
118,2024-07-28,The Charge of the Believer (Part 8) - Run My Race,Jason Braddock,1:16:50,00:40:00,01:19:19,42.4,SUCCESS,2024-07-28 - The Charge of the Believer (Part 8) - Run My Race.md,2024-07-28 - The Charge of the Believer (Part 8) - Run My Race - Preaching.mp3,2026-09-03 08:44:27,https://s3.amazonaws.com/ccstarchives/xml/0728241
119,2024-07-21,The Charge of the Believer (Part 7) - Run My Race,Jason Braddock,1:16:50,00:40:00,01:19:59,36.6,SUCCESS,2024-07-21 - The Charge of the Believer (Part 7) - Run My Race.md,2024-07-21 - The Charge of the Believer (Part 7) - Run My Race - Preaching.mp3,2026-09-03 08:48:23,https://s3.amazonaws.com/ccstarchives/xml/0721241
120,2024-07-14,Live On Purpose,Chris Weeks,1:16:50,00:48:00,01:27:48,43.2,SUCCESS,2024-07-14 - Live On Purpose.md,2024-07-14 - Live On Purpose - Preaching.mp3,2026-09-03 08:52:20,https://s3.amazonaws.com/ccstarchives/xml/0714241
121,2024-07-07,The Charge of the Believer (Part 6) - Serve His Body: Duty,Jason Braddock,1:16:50,00:56:00,01:27:07,39.9,SUCCESS,2024-07-07 - The Charge of the Believer (Part 6) - Serve His Body- Duty.md,2024-07-07 - The Charge of the Believer (Part 6) - Serve His Body- Duty - Preaching.mp3,2026-09-03 08:58:12,https://s3.amazonaws.com/ccstarchives/xml/0707241
122,2024-06-30,The Charge of the Believer (Part 5) - Serve His Body: Doctrine,Jason Braddock,1:16:50,00:38:48,01:21:50,37.5,SUCCESS,2024-06-30 - The Charge of the Believer (Part 5) - Serve His Body- Doctrine.md,2024-06-30 - The Charge of the Believer (Part 5) - Serve His Body- Doctrine - Preaching.mp3,2026-09-03 09:02:57,https://s3.amazonaws.com/ccstarchives/xml/0630241
123,2024-06-23,The Charge of the Believer (Part 4) - Rightly Divide,Jason Braddock,1:16:50,00:50:57,01:23:50,39.1,SUCCESS,2024-06-23 - The Charge of the Believer (Part 4) - Rightly Divide.md,2024-06-23 - The Charge of the Believer (Part 4) - Rightly Divide - Preaching.mp3,2026-09-03 09:16:34,https://s3.amazonaws.com/ccstarchives/xml/0623241
124,2024-06-16,Be A Thermostat,Jason Braddock,1:16:50,00:34:00,01:17:29,36.4,SUCCESS,2024-06-16 - Be A Thermostat.md,2024-06-16 - Be A Thermostat - Preaching.mp3,2026-09-03 09:23:25,https://s3.amazonaws.com/ccstarchives/xml/0616241
125,2024-06-09,The Charge of the Believer (Part 3) - Be His Witness,Jason Braddock,1:16:50,01:02:08,01:33:57,43.3,SUCCESS,2024-06-09 - The Charge of the Believer (Part 3) - Be His Witness.md,2024-06-09 - The Charge of the Believer (Part 3) - Be His Witness - Preaching.mp3,2026-09-03 09:27:20,https://s3.amazonaws.com/ccstarchives/xml/0609241
126,2024-06-02,The Charge of the Believer (Part 2) - Guard Your Heart,Jason Braddock,1:16:50,00:40:00,01:21:19,37.2,SUCCESS,2024-06-02 - The Charge of the Believer (Part 2) - Guard Your Heart.md,2024-06-02 - The Charge of the Believer (Part 2) - Guard Your Heart - Preaching.mp3,2026-09-03 09:35:13,https://s3.amazonaws.com/ccstarchives/xml/0602241
127,2024-05-26,The Charge of the Believer (Part 1) - Be Alert,Jason Braddock,1:16:50,00:59:38,01:28:33,40.5,SUCCESS,2024-05-26 - The Charge of the Believer (Part 1) - Be Alert.md,2024-05-26 - The Charge of the Believer (Part 1) - Be Alert - Preaching.mp3,2026-09-03 09:41:24,https://s3.amazonaws.com/ccstarchives/xml/0526241
128,2024-05-19,Bypassing Jerusalem,Lee McBride,1:16:50,00:56:59,01:16:24,41.2,SUCCESS,2024-05-19 - Bypassing Jerusalem.md,2024-05-19 - Bypassing Jerusalem - Preaching.mp3,2026-09-03 09:45:36,https://s3.amazonaws.com/ccstarchives/xml/0519241
129,2024-05-12,The Other Side of Forgiveness,John C. Wood,1:16:50,00:48:01,01:23:31,40.4,SUCCESS,2024-05-12 - The Other Side of Forgiveness.md,2024-05-12 - The Other Side of Forgiveness - Preaching.mp3,2026-09-03 09:50:31,https://s3.amazonaws.com/ccstarchives/xml/0512241
131,2024-05-05,Unforgiveness Penitentiary,Joe Phillips,1:16:50,00:31:35,01:36:50,44.4,SUCCESS,2024-05-05 - Unforgiveness Penitentiary.md,2024-05-05 - Unforgiveness Penitentiary - Preaching.mp3,2026-09-03 09:59:50,https://s3.amazonaws.com/ccstarchives/xml/0505241
130,2024-05-05,A Night of Comedy,John C. Wood,1:16:50,00:45:08,01:25:22,39.9,SUCCESS,2024-05-05 - A Night of Comedy.md,2024-05-05 - A Night of Comedy - Preaching.mp3,2026-09-03 09:55:24,https://s3.amazonaws.com/ccstarchives/xml/0505242
132,2024-04-28,Even Now,John C. Wood,1:16:50,00:43:55,01:20:02,40.9,SUCCESS,2024-04-28 - Even Now.md,2024-04-28 - Even Now - Preaching.mp3,2026-09-03 10:17:53,https://s3.amazonaws.com/ccstarchives/xml/0428241
134,2024-04-21,Lee University Campus Choir,Lee University Campus Choir,1:16:50,00:36:26,01:44:07,47.7,SUCCESS,2024-04-21 - Lee University Campus Choir.md,2024-04-21 - Lee University Campus Choir - Preaching.mp3,2026-09-03 10:45:00,https://s3.amazonaws.com/ccstarchives/xml/0421241
133,2024-04-21,"April 21, 2024 - 6PM",Jason and Amanda Braddock,1:16:50,00:05:00,00:50:01,24.1,SUCCESS,"2024-04-21 - April 21, 2024 - 6PM.md","2024-04-21 - April 21, 2024 - 6PM - Preaching.mp3",2026-09-03 10:26:42,https://s3.amazonaws.com/ccstarchives/xml/0421242
136,2024-04-14,The Life of the Highly Favored,John C. Wood,1:16:50,00:51:04,01:36:56,44.7,SUCCESS,2024-04-14 - The Life of the Highly Favored.md,2024-04-14 - The Life of the Highly Favored - Preaching.mp3,2026-09-03 11:03:57,https://s3.amazonaws.com/ccstarchives/xml/0414241
135,2024-04-14,The Gift and Gifts of the Holy Spirit,John C. Wood,1:16:50,00:17:30,01:30:05,41.2,SUCCESS,2024-04-14 - The Gift and Gifts of the Holy Spirit.md,2024-04-14 - The Gift and Gifts of the Holy Spirit - Preaching.mp3,2026-09-03 10:49:19,https://s3.amazonaws.com/ccstarchives/xml/0414242
138,2024-04-07,It's Laying At Your Gate,John C. Wood,1:16:50,00:38:40,01:29:39,41.7,SUCCESS,2024-04-07 - It's Laying At Your Gate.md,2024-04-07 - It's Laying At Your Gate - Preaching.mp3,2026-09-03 11:14:03,https://s3.amazonaws.com/ccstarchives/xml/0407241
137,2024-04-07,The Gift and Gifts of the Holy Spirit: The Gift of Faith,John C. Wood,1:16:50,00:18:31,01:19:07,38.5,SUCCESS,2024-04-07 - The Gift and Gifts of the Holy Spirit- The Gift of Faith.md,2024-04-07 - The Gift and Gifts of the Holy Spirit- The Gift of Faith - Preaching.mp3,2026-09-03 11:07:54,https://s3.amazonaws.com/ccstarchives/xml/0407242
139,2024-03-31,"Jesus, the One and Only",John C. Wood,1:16:50,00:40:37,01:28:30,42.9,SUCCESS,"2024-03-31 - Jesus, the One and Only.md","2024-03-31 - Jesus, the One and Only - Preaching.mp3",2026-09-03 11:28:28,https://s3.amazonaws.com/ccstarchives/xml/0331241
140,2024-03-24,What Do You See?,Charles Starks,1:16:50,00:33:24,01:20:52,40.1,SUCCESS,2024-03-24 - What Do You See.md,2024-03-24 - What Do You See - Preaching.mp3,2026-09-03 11:32:52,https://s3.amazonaws.com/ccstarchives/xml/0324241
142,2024-03-17,Living Epistles,Andy King,1:16:50,00:48:00,01:24:40,42.5,SUCCESS,2024-03-17 - Living Epistles.md,2024-03-17 - Living Epistles - Preaching.mp3,2026-09-03 11:44:35,https://s3.amazonaws.com/ccstarchives/xml/0317241
141,2024-03-17,Living Epistles (Part 2),Andy King,1:16:50,00:12:25,00:59:41,27.9,SUCCESS,2024-03-17 - Living Epistles (Part 2).md,2024-03-17 - Living Epistles (Part 2) - Preaching.mp3,2026-09-03 11:40:36,https://s3.amazonaws.com/ccstarchives/xml/0317242
143,2024-03-13,Night of Worship,John C. Wood,1:16:50,00:28:18,01:20:51,37.0,SUCCESS,2024-03-13 - Night of Worship.md,2024-03-13 - Night of Worship - Preaching.mp3,2026-09-03 11:51:47,https://s3.amazonaws.com/ccstarchives/xml/0313242
145,2024-03-10,Return and I Will Heal You,John C. Wood,1:16:50,00:41:20,01:24:43,43.2,SUCCESS,2024-03-10 - Return and I Will Heal You.md,2024-03-10 - Return and I Will Heal You - Preaching.mp3,2026-09-03 12:03:16,https://s3.amazonaws.com/ccstarchives/xml/0310241
144,2024-03-10,The Gift and Gifts of the Holy Spirit (Part 7): The Revelatory Gifts: The Word of Knowledge,John C. Wood,1:16:50,00:14:40,01:14:50,34.7,SUCCESS,2024-03-10 - The Gift and Gifts of the Holy Spirit (Part 7)- The Revelatory Gifts- The Word of Knowledge.md,2024-03-10 - The Gift and Gifts of the Holy Spirit (Part 7)- The Revelatory Gifts- The Word of Knowledge - Preaching.mp3,2026-09-03 11:55:39,https://s3.amazonaws.com/ccstarchives/xml/0310242
147,2024-03-03,Your Victory (Part 2),John C. Wood,1:16:50,00:36:16,01:21:54,40.7,SUCCESS,2024-03-03 - Your Victory (Part 2).md,2024-03-03 - Your Victory (Part 2) - Preaching.mp3,2026-09-03 12:13:30,https://s3.amazonaws.com/ccstarchives/xml/0303241
146,2024-03-03,The Gift and Gifts of the Holy Spirit (Part 6): The Revelatory Gifts: The Word of Wisdom,John C. Wood,1:16:50,00:00:00,00:58:00,26.9,SUCCESS,2024-03-03 - The Gift and Gifts of the Holy Spirit (Part 6)- The Revelatory Gifts- The Word of Wisdom.md,2024-03-03 - The Gift and Gifts of the Holy Spirit (Part 6)- The Revelatory Gifts- The Word of Wisdom - Preaching.mp3,2026-09-03 12:09:26,https://s3.amazonaws.com/ccstarchives/xml/0303242
149,2024-02-25,Your Victory,John C. Wood,1:16:50,00:40:10,01:27:37,42.1,SUCCESS,2024-02-25 - Your Victory.md,2024-02-25 - Your Victory - Preaching.mp3,2026-09-03 12:27:18,https://s3.amazonaws.com/ccstarchives/xml/0225241
148,2024-02-25,The Gift and Gifts of the Holy Spirit: Recap,Jason Braddock,1:16:50,00:17:06,01:16:50,37.1,SUCCESS,2024-02-25 - The Gift and Gifts of the Holy Spirit- Recap.md,2024-02-25 - The Gift and Gifts of the Holy Spirit- Recap - Preaching.mp3,2026-09-03 12:21:55,https://s3.amazonaws.com/ccstarchives/xml/0225242
151,2024-02-18,This Fire,John C. Wood,1:16:50,00:23:15,01:06:26,30.4,SUCCESS,2024-02-18 - This Fire.md,2024-02-18 - This Fire - Preaching.mp3,2026-09-03 12:58:01,https://s3.amazonaws.com/ccstarchives/xml/0218241
150,2024-02-18,The Gift and Gifts of the Holy Spirit (Part 5): The Vocal Gifts (Prophecy),John C. Wood,1:16:50,00:12:20,01:23:38,38.3,SUCCESS,2024-02-18 - The Gift and Gifts of the Holy Spirit (Part 5)- The Vocal Gifts (Prophecy).md,2024-02-18 - The Gift and Gifts of the Holy Spirit (Part 5)- The Vocal Gifts (Prophecy) - Preaching.mp3,2026-09-03 12:33:51,https://s3.amazonaws.com/ccstarchives/xml/0218242
152,2024-02-11,Choose Your Team Wisely,Chris Weeks,1:16:50,00:35:42,01:07:59,35.5,SUCCESS,2024-02-11 - Choose Your Team Wisely.md,2024-02-11 - Choose Your Team Wisely - Preaching.mp3,2026-09-03 13:03:53,https://s3.amazonaws.com/ccstarchives/xml/0211241
154,2024-02-04,"Yes, You Can",John C. Wood,1:16:50,00:43:10,01:25:49,42.9,SUCCESS,"2024-02-04 - Yes, You Can.md","2024-02-04 - Yes, You Can - Preaching.mp3",2026-09-03 13:15:49,https://s3.amazonaws.com/ccstarchives/xml/0204241
153,2024-02-04,The Gift and Gifts of the Holy Spirit (Part 4): The Ability to Speak in Tongues and the Gift of Diverse Kinds of Tongues,John C. Wood,1:16:50,00:08:10,01:26:50,42.9,SUCCESS,2024-02-04 - The Gift and Gifts of the Holy Spirit (Part 4)- The Ability to Speak in Tongues and the Gift of Diverse Kinds of Tongues.md,2024-02-04 - The Gift and Gifts of the Holy Spirit (Part 4)- The Ability to Speak in Tongues and the Gift of Diverse Kinds of Tongues - Preaching.mp3,2026-09-03 13:07:51,https://s3.amazonaws.com/ccstarchives/xml/0204242
156,2024-01-28,What of the Mission? Part 3: What of the Broken?,John C. Wood,1:16:50,00:36:50,01:27:48,43.4,SUCCESS,2024-01-28 - What of the Mission- Part 3- What of the Broken.md,2024-01-28 - What of the Mission- Part 3- What of the Broken - Preaching.mp3,2026-09-03 13:26:30,https://s3.amazonaws.com/ccstarchives/xml/0128241
155,2024-01-28,The Gift and Gifts of the Holy Spirit (Part 3): The Ability to Speak in Tongues and the Gift of Diverse Kinds of Tongues,John C. Wood,1:16:50,00:13:00,01:28:21,44.1,SUCCESS,2024-01-28 - The Gift and Gifts of the Holy Spirit (Part 3)- The Ability to Speak in Tongues and the Gift of Diverse Kinds of Tongues.md,2024-01-28 - The Gift and Gifts of the Holy Spirit (Part 3)- The Ability to Speak in Tongues and the Gift of Diverse Kinds of Tongues - Preaching.mp3,2026-09-03 13:22:18,https://s3.amazonaws.com/ccstarchives/xml/0128242
158,2024-01-21,What of the Mission? Part 2: What of the Found?,John C. Wood,1:16:50,00:45:00,01:36:44,45.1,SUCCESS,2024-01-21 - What of the Mission- Part 2- What of the Found.md,2024-01-21 - What of the Mission- Part 2- What of the Found - Preaching.mp3,2026-09-03 13:38:55,https://s3.amazonaws.com/ccstarchives/xml/0121241
157,2024-01-21,The Gift and Gifts of the Holy Spirit (Part 2): The Gifts Themselves,John C. Wood,1:16:50,00:08:53,01:20:55,42.5,SUCCESS,2024-01-21 - The Gift and Gifts of the Holy Spirit (Part 2)- The Gifts Themselves.md,2024-01-21 - The Gift and Gifts of the Holy Spirit (Part 2)- The Gifts Themselves - Preaching.mp3,2026-09-03 13:30:02,https://s3.amazonaws.com/ccstarchives/xml/0121242
160,2024-01-14,What of the Mission? Part 1: What of the Lost? (continued),John C. Wood,1:16:50,00:00:00,01:20:52,41.9,SUCCESS,2024-01-14 - What of the Mission- Part 1- What of the Lost- (continued).md,2024-01-14 - What of the Mission- Part 1- What of the Lost- (continued) - Preaching.mp3,2026-09-03 13:59:12,https://s3.amazonaws.com/ccstarchives/xml/0114241
159,2024-01-14,The Gift and Gifts of the Holy Spirit (Part 1): Introduction to the Holy Spirit,John C. Wood,1:16:50,00:16:12,01:21:33,38.6,SUCCESS,2024-01-14 - The Gift and Gifts of the Holy Spirit (Part 1)- Introduction to the Holy Spirit.md,2024-01-14 - The Gift and Gifts of the Holy Spirit (Part 1)- Introduction to the Holy Spirit - Preaching.mp3,2026-09-03 13:42:40,https://s3.amazonaws.com/ccstarchives/xml/0114242
161,2024-01-07,What of the Mission? Part 1: What of the Lost?,John C. Wood,1:16:50,00:44:00,01:31:54,45.8,SUCCESS,2024-01-07 - What of the Mission- Part 1- What of the Lost.md,2024-01-07 - What of the Mission- Part 1- What of the Lost - Preaching.mp3,2026-09-03 14:05:06,https://s3.amazonaws.com/ccstarchives/xml/0107241
162,2023-12-31,My Redeemer Lives,Jason Braddock,1:16:50,00:37:01,00:58:17,31.5,SUCCESS,2023-12-31 - My Redeemer Lives.md,2023-12-31 - My Redeemer Lives - Preaching.mp3,2026-09-03 14:10:17,https://s3.amazonaws.com/ccstarchives/xml/1231231
163,2023-12-24,He Has and He Will,Jason Braddock,1:16:50,00:30:20,00:57:19,27.6,SUCCESS,2023-12-24 - He Has and He Will.md,2023-12-24 - He Has and He Will - Preaching.mp3,2026-09-03 14:14:53,https://s3.amazonaws.com/ccstarchives/xml/1224231
164,2023-12-17,God Is ____,John C. Wood,1:16:50,00:24:00,01:34:05,43.5,SUCCESS,2023-12-17 - God Is.md,2023-12-17 - God Is - Preaching.mp3,2026-09-03 14:21:21,https://s3.amazonaws.com/ccstarchives/xml/1217231
165,2023-12-10,Who Touched Me?,John C. Wood,1:16:50,00:35:23,01:26:55,39.8,SUCCESS,2023-12-10 - Who Touched Me.md,2023-12-10 - Who Touched Me - Preaching.mp3,2026-09-03 14:29:33,https://s3.amazonaws.com/ccstarchives/xml/1210231
166,2023-12-03,Miracle on Main Street,CC Kidz,1:16:50,00:23:20,01:06:41,30.5,SUCCESS,2023-12-03 - Miracle on Main Street.md,2023-12-03 - Miracle on Main Street - Preaching.mp3,2026-09-03 14:47:56,https://s3.amazonaws.com/ccstarchives/xml/1203231
167,2023-11-26,The King is Coming (Part 4): The Anti-Christ,John C. Wood,1:16:50,00:40:00,01:25:54,40.5,SUCCESS,2023-11-26 - The King is Coming (Part 4)- The Anti-Christ.md,2023-11-26 - The King is Coming (Part 4)- The Anti-Christ - Preaching.mp3,2026-09-03 14:51:20,https://s3.amazonaws.com/ccstarchives/xml/1126231
168,2023-11-19,Flat Line,Charles Starks,1:16:50,00:39:50,01:33:08,43.5,SUCCESS,2023-11-19 - Flat Line.md,2023-11-19 - Flat Line - Preaching.mp3,2026-09-03 14:55:40,https://s3.amazonaws.com/ccstarchives/xml/1119231
169,2023-11-12,The King is Coming (Part 3): The Second Coming of Christ,John C. Wood,1:16:50,00:42:00,01:31:49,45.5,SUCCESS,2023-11-12 - The King is Coming (Part 3)- The Second Coming of Christ.md,2023-11-12 - The King is Coming (Part 3)- The Second Coming of Christ - Preaching.mp3,2026-09-03 15:06:20,https://s3.amazonaws.com/ccstarchives/xml/1112231
170,2023-11-05,The King is Coming (Part 2): Dispensations,John C. Wood,1:16:50,00:48:09,01:44:11,47.7,SUCCESS,2023-11-05 - The King is Coming (Part 2)- Dispensations.md,2023-11-05 - The King is Coming (Part 2)- Dispensations - Preaching.mp3,2026-09-03 15:10:34,https://s3.amazonaws.com/ccstarchives/xml/1105231
171,2023-10-29,The King is Coming (Part 1): Key Terms,John C. Wood,1:16:50,00:43:41,01:43:55,47.7,SUCCESS,2023-10-29 - The King is Coming (Part 1)- Key Terms.md,2023-10-29 - The King is Coming (Part 1)- Key Terms - Preaching.mp3,2026-09-03 15:18:35,https://s3.amazonaws.com/ccstarchives/xml/1029231
172,2023-10-22,Dead Man Walking,Al Robbins,1:16:50,00:48:00,01:17:59,40.7,SUCCESS,2023-10-22 - Dead Man Walking.md,2023-10-22 - Dead Man Walking - Preaching.mp3,2026-09-03 15:22:49,https://s3.amazonaws.com/ccstarchives/xml/1022231
173,2023-10-15,Those Who Walk Away,John C. Wood,1:16:50,00:40:47,01:31:29,43.3,SUCCESS,2023-10-15 - Those Who Walk Away.md,2023-10-15 - Those Who Walk Away - Preaching.mp3,2026-09-03 15:29:43,https://s3.amazonaws.com/ccstarchives/xml/1015231
174,2023-10-08,Wash and Be Cleansed,Jason Braddock,1:16:50,00:35:21,01:19:59,39.6,SUCCESS,2023-10-08 - Wash and Be Cleansed.md,2023-10-08 - Wash and Be Cleansed - Preaching.mp3,2026-09-03 15:38:38,https://s3.amazonaws.com/ccstarchives/xml/1008231
175,2023-10-01,No Condemnation,John C. Wood,1:16:50,00:36:00,01:20:55,38.7,SUCCESS,2023-10-01 - No Condemnation.md,2023-10-01 - No Condemnation - Preaching.mp3,2026-09-03 15:42:22,https://s3.amazonaws.com/ccstarchives/xml/1001231
